name,fact,issue,decision,reason,year,description
HOLLAND V WILTSHIRE,"W sold land to H. The contract nominated a date for payment. At H’s request this date was extended, H failed to meet the extension. H then announced that he did not intend to proceed with the sale at all",Was the time specified as condition?. Did W have the right to terminate the contract?,Time for performance was held to be a condition of the contract. The failure to perform by the (extended) time thus entitled W to terminate the contract. W could terminate for this anticipatory breach,The transaction (sale of land) was such that timely performance was expected. affirmed breach of a condition. ,1954,LATE PERFORMANCE OF A CONDITION. LOSS OF RIGHT TO TERMINATE
HOCHSTER V DE LA TOUR,"D engaged H as a courier. Three weeks before that H was to commence working for D, D informed H that his services were no longer required. H sued D for breach of contract","Could H terminate the contract and, in turn, sue for damages for anticipatory breach?",H could terminate the contract (and sue for damages),The anticipatory breach related to the entire contract,1853,ANTICIPATORY BREACH OF A CONDITION
BETTINI V GYE,"B, a singer, contracted to sing for G (a promoter). It was a term of the contract that B would arrive six days prior to the first performance and participate in rehearsals. B arrived four days late as she was unwell (and missed some rehearsals as a result). G wanted to terminate the contract.  In order to be able to do so, G needed to show that the promise to attend rehearsal was a condition of the contract",Was the promise to attend rehearsal a condition (in which case G could terminate) or a warranty (in which case G could not terminate)?,"The rehearsal promise was a warranty. Thus, G was not entitled to terminate the contract",B was hired to sing at a number of events. Attending the rehearsals did not go to the root of the contract,1876,CLASSIFYING TERMS
CEHAVE V BREMER,"B sold citrus pellets to C. The contract required that the pellets be shipped ‘in good condition’. The pellets shipped by B were not in good condition and were valued at less accordingly – thus, B had breached the contract. The pellets were good enough for animal feed, which was how C intended to use them",Was C entitled to reject the goods and terminate the contract?. What type of term was the promise that the pellets were in good condition?,C could not reject the goods and terminate the contract,"The term was an innominate/intermediate term: it could be breached in a minor way that caused no loss, The term could also be breached in a way that would have serious consequences. Only a serious breach that substantially deprives C of the benefit for which they entered the contract gives rise to a right to terminate. C was not deprived of the benefit because the pellets could be used for the purpose he intended to use them for",1976,CLASSIFYING TERMS
DOUGAN V LEY,"D sold a taxi, together with its operating licence, to L. D had a change of mind and refused to perform the contract",Was specific performance an available remedy?,L was entitled to an order of specific performance,Damages are an adequate remedy where ordinary goods are involved as ordinary goods can be purchased elsewhere. Specific performance will be ordered if the goods are unique or have a special or particular value. Taxi licences are limited and not readily available on the market – the award of damages would be inadequate – specific performance ordered,1946,EQUITABLE REMEDIES: SPECIFIC PERFORMANCE
JC WILLIAMSON V LUKEY & MULHOLLAND,"W operated three theatres in Melbourne. W leased the confectionary shop next to one of the theatres to L for 5 years and granted L the exclusive right to sell sweets in the theatre itself. Three years into the five year arrangement, W allowed another person to sell sweets in the theatre. L sued for breach of contract",Was specific performance an available remedy?,Specific performance was not an available remedy,"Specific performance will not be ordered if the contract requires performance of services that will continue over an extended period of time. This would require the parties to remain in an ongoing relationship. As the relationship of the parties had soured, continuous supervision of the courts would be necessary.  ",1931,EQUITABLE REMEDIES: SPECIFIC PERFORMANCE
BUCKENARA V HAWTHORN FOOTBALL CLUB,"B was contracted to play football for HFC•B promised not to play for other clubs while contracted to HFC•When it seemed that B intended to play for another team, HFC sought an injunction preventing him from doing so",Is an injunction preventing breach of the promise not to play for another team an available remedy?,The injunction was issued,An injunction will not be granted if it has the indirect effect of enforcing the contractual promise that a court would not enforce by way of an order of specific performance (ie if it forces B to play for HFC). An injunction preventing B from playing for other teams would not force him to play for HFC – B could earn a living in other ways. Is this reasoning outdated?,1988,EQUITABLE REMEDIES: INJUNCTIONS
LUMLEY V WAGNER,W contracted to sing in L’s theatre (first promise). The contract between W and L included a term that prevented W from performing elsewhere (second promise). W breached the first promise and threatened to breach the second,Would an injunction be granted to restrain breach of the second promise?,The court issued an injunction which prevented W from breaching the second promise,"An injunction will not be granted if it has the indirect effect of enforcing the contractual promise that a court would not enforce by way of an order of specific performance . On these facts the granting of the injunction would not have this effect as W could make a living in other ways. Again, is this reasoning outdated?",1852,EQUITABLE REMEDIES: INJUNCTIONS
BARTON V ARMSTRONG,,Could the sale contract be set aside on the basis of duress?,The contract could be set aside,"Duress: A’s conduct amounted to duress (threat to person). Causation: Even though there were compelling business reasons that contributed to B’s decision to enter into the agreement, the contract can be set aside if the duress contributed to B’s decision to enter the contract. Affirmation: B made it clear that he was treating the contract as at an end.",1973,DURESS TO PERSON
NORTH OCEAN SHIPPING V HYUNDAI CONSTRUCTIONS,H agreed to build a tanker for NOS for a fixed price stated in $US. After the contract was formed there was a 10% devaluation in the $US which meant building the tanker would no longer be profitable to H. H stated it would not build the ship unless NOS agreed to a 10% increase in the price. NOS needed the tanker urgently so agreed to pay the increased price,Was NOS bound to pay the increased price?. Did H’s conduct amount to duress?,"H’s conduct amounted to duress. However, NOS remained bound by the promise made",Duress: A threat to breach a contractual obligation will amount to duress. Causation: NOS would not have agreed to pay the additional amount if H did not threaten to breach the contract. Affirmation: NOS did not exercise the right to rescind the contract within a reasonable time – it thus affirmed the contract,1979,DURESS: ECONOMIC HARM
ALLCARD V SKINNER,"A joined religious order and took a vow of poverty. A donated her property to the religious order . When A left the order, she sought to recover the money she had donated. She claimed she was entitled to recover the money as it had been paid as a result of undue influence",Could the gift transaction be avoided on the basis of undue influence?,The transaction could not be avoided on the basis of undue influence,"Undue influence? The relationship of devotee/religious advisor gave rise to a presumption of undue influence, S was unable to rebut the presumption. Affirmation? A lost her right to set the contract aside because she took too long to exercise the right, A should have exercised the right as soon as the undue influence lapsed (that is, very soon after leaving the religious order)",1887,PRESUMPTION OF GENERAL CONTROLLING INFLUENCE
JOHNSON V BUTTRESS,"B was an elderly man, excitable, emotional, unable to read or write and very dependent on others for help. B gave his land and cottage to J three years before he died because she had been good to his wife and because she took take care of him. B lived with J for about three weeks and then went to live (at first in a tent and later in a shack he built) on land now owned by J. The transfer of land was challenged on the basis of undue influence",Could the transfer be set aside on the grounds of undue influence?,The gift could be set aside on the basis of undue influence,"B and J were not in a relationship traditionally understood to involve a controlling influence. However, as B placed a high degree of trust and confidence in J. Because of this trust and confidence, it was presumed that the transaction resulted from undue influence. J was unable to show that the transfer was an exercise of B’s freewill. B had not acted to affirm the transfer",1936,PROOF OF GENERAL CONTROLLING INFLUENCE
COMMERCIAL BANK OF AUSTRALIA V AMADIO,"Mr and Mrs A were 76 and 71 respectively. both had only a limited grasp of English. Mr and Mrs A's son, V, carried on a business as a land developer. The annual turnover of the business was considerable and V was considered a success. In 1976 V held an elaborate Christmas party, attended by over 2,000 people including Mr A and Mr Virgo (V's bank manager). However, the business had started to fare badly in October 1976. V's overdraft was extended and exceeded on a couple of occasions",Could CBA enforce the guarantee?,The guarantee was set aside,"Special disadvantage: the As were at a special disadvantage because of their reliance on their son, their mistaken understanding as to the financial position of their son’s business, their limited English skills, their age and their lack of business experience. Knowledge: CBA was aware of the special disadvantage (Mr A’s comment about the duration of the guarantee revealed that he had misunderstood the document). Unfair advantage: Rather than advise the As to seek legal advice, Mr V allowed the As to sign the guarantee contract",1983,UNCONSCIONABLE DEALING
GARCIA V NATIONAL AUSTRALIA BANK,"In 1987 Mrs G signed, at her husband’s request, a guarantee in respect of advances of $270,000 to a company controlled by her husband. Mr G told Mrs G she did not need to worry because he was using the money to buy gold. Mrs G did not realise that the guarantee was secured by the original mortgage. The guarantee was signed in the presence of the bank manager. Mrs G commenced proceedings, seeking to have the guarantee set aside",Was G bound by the guarantee?,The guarantee was set aside,"the person giving the guarantee did not understand the purport or effect of the transaction or was unduly influenced by the spouse or co-habitee;. the transaction was voluntary (that is, the person giving the guarantee did not directly benefit from the granting of the guarantee);. the lender is aware of the relationship between the borrower and the guarantor and should therefore should assume that the person giving the guarantee reposes trust and confidence in the borrower; and. despite this knowledge, the lender made no effort to explain the guarantee.",1988,THIRD-PARTY UNCONSCIONABILITY
LEAF V INTERNATIONAL GALLERIES,"L saw a painting of Salisbury Cathedral that IG had for sale. At the time of contract (by which L bought the painting from IG), both L and IG believed that the work was by a famous painter, John Constable. L subsequently discovered the painting was in fact by another artist. L sought to have the contract set aside",Could the contract be avoided on the basis that the parties both believed the painting was by John Constable?,The mistake did not justify setting the contract aside,There was nothing to suggest that the contract was for a painting by John Constable – it was for the particular painting of the Salisbury Cathedral,1950,COMMON MISTAKE
GREAT PEACE V TSAVLIRIS,,Both parties assumed that the “Great Peace” was 35 miles away when in fact it was 410 miles away.  Did this common mistake allow for the contract to be avoided?,The contract could not be set aside,"The contract will be valid unless a common mistake ‘makes the thing contracted for essentially different from the thing that it was believed to be’. Although the Great Peace was further away than originally thought, it was close enough to arrive in time to undertake some rescue work – thus it was not something essentially different",2003,COMMON MISTAKE
RAFFLES V WICHELHAUS,"W agreed to buy cotton from R. The cotton was in India and it was a condition of the contract that the seller would place the cotton on a ship called ‘Peerless’ for transport from Bombay. After the agreement was reached the parties discovered there were in fact two ships called ‘Peerless’ . When entering the contract, R had one of these ships in mind, W the other (hence there was a lack of subjective consensus)",Did R and W owe each other contractual obligations?,No binding contract had come into existence,"The word ‘Peerless’ was meaningless. The word ‘Peerless’ could not be used to resolve the dispute between the parties.  It was not clear that one ship was intended for use over the other. Thus, the agreement was insufficiently certain to become a contract",1864,MUTUAL MISTAKE
TAYLOR V JOHNSON,"J entered into a contract with T for the sale of 10 acres of J’s land. The price stated in the contract was $15,000. J believed that the contract price was $15,000 per acre. J refused to complete the sale. There was evidence that T deliberately set out to ensure that J did not become aware of the mistake.  For example, he claimed to have lost his copy of the option when she asked to view it.  He also refrained from mentioning price again.",Did J’s mistake allow her to set aside the contract?,The contract was set aside on the basis of unilateral mistake,T was aware of circumstances that indicated J’s mistake and deliberately set about concealing the mistake from J ,1983,UNILATERAL MISTAKE
ALATI V KRUGER,"A told K that A’s business made sales of £100 per week (on average). K, relying on this information, agreed to purchase K’s business. K later discovered that the statement about the average weekly takings was false. K sought to avoid the contract on the basis of a misrepresentation",Was K entitled to avoid the contract?,K could cancel the contract,"The representation made by A as to the takings of the business was false. The false representation induced K to enter into the contract. K had not affirmed the contract. Thus, K was entitled to rescind the contract",1955,MISREPRESENTATION
LINDNER V MURDOCK’S GARAGE,,Was the restraint clause enforceable?,The restraint clause was unenforceable,"The provision imposed a restraint on L’s ability to work in a particular area (Crystal Brook and Wirrabara). The restraint could not be enforced because it was unreasonable as between the parties.  It restricted L from working in both Crystal Brook and Wirrabara.  As L had never worked in Wirrabara, the restraint was too broad and thus unenforceable.",1950,RESTRAINT OF TRADE
FITZGERALD V FJ LEONHARDT ,,Was the contract between F and FJL impliedly prohibited by the Water Act 1992 (NT)?,The contract was enforceable despite the fact that a permit had not been obtained,"The Water Act prohibited the conduct contemplated by the contract but did not expressly prohibit contracts, performance of which would require such conduct. Thus, the question was whether the contract was impliedly prohibited. The court held that the contract was valid – there was no need to “punish” the parties by refusing to enforce the contract.  The penalties imposed by the Water Act created a sufficient disincentive to engage in the prohibited conduct.",1997,IMPLIED PROHIBITION
Concrete constructions v nelson,"N, a CC employee, was injured when he fell down a shaft on one of CCís construction sites. N fell because a foreman (CCís agent) told N a grate at the entrance to a shaft was secure but it was not. N sought damages for breach of what is now s 18 of the ACL. CC argued that the conduct, while misleading, did not breach s 18 as it did not occur ëin trade or commerceí",Did the making of the misleading statement by the foreman take place ëin trade or commerceí?,"The conduct at hand, internal communications between employees (not related to customers) was held not to occur ëin trade or commerceí","The phrase ëin trade or commerceí refers only to conduct which, of its nature, bears a trading or commercial character (not all conduct engaged in by or on behalf of a business)",1990,Misleading Conduct in trade or commerce
McWilliams Wines v McDonaldís,"McW advertised cask wine under the name ëBig Mací. McD (the fast food chain) claimed that consumers, familiar with its infamous Big Mac burger, would be misled into thinking that the wine was a McD product or otherwise affiliated with McD",Was McWís conduct misleading or deceptive?,The conduct was not misleading or deceptive,"Wine and fast food are quite different products. In Australia, McD does not serve alcohol. The reasonable consumer would appreciate there is no connection between the two products",1980,Conduct that is misleading or deceptive
ACCC v TPG,"In a series of radio, television and newspaper advertisements TPG, (very prominently) promoted a very cheap unlimited data ADSL 2 plan, (far less prominently) disclosed that the cheap plan was only available to those who bundled their home phone line with TPG. The ACCC brought proceedings alleging that the advertising was misleading",Was the advertising misleading?,The advertising was misleading,"ëfine printí cannot qualify or contradict the ëdominant messageí. It did not matter that any error would be corrected before any transaction resulted (eg, when the person calls to sign up to the plan and is informed of the bundling condition)",2013,Conduct that is misleading or deceptive
ACCC v COLES SUPERMARKETS,"Signs placed in Colesí in-store bakeries included phrases such as ëbaked today, sold todayí and ëfreshly bakedí. The ACCC alleged that such statements represented that the products had been entirely baked that day.  Coles sold products partially baked elsewhere and then snap frozen with the baking process completed by Coles in store",Were the signs misleading?,The signs were misleading,"Consumers are likely to be concerned about the freshness of bread, and thus pay attention to the signs. The statements on the signs suggest the entire baking process took place in the Coles in-store bakery",2014,Conduct that is misleading or deceptive
Butcher v Lachlan Elder Realty,,Was the  brochure misleading,The brochure was not misleading,"Although in small print, the disclaimer was legible. The disclaimer changed the nature of the conduct:. From: an unqualified representation about the accuracy of the survey diagram reproduced. To: a representation that the diagram comes from what is believed to be a reliable source but that other than that, Bís conduct was limited to ëpassing oní the information provided by the vendorís solicitors.",2004,Disclaimers
Yorke v lucas,Treasureway (T) appointed Ross Lucas Pty Ltd  (L) to act as its agent to sell Tís record shop business. Yorke (Y) purchased the record shop from T. T provided misleading information to L. L passed the misleading information on to Y (although it did not make it clear that it was passing on the information for what it was worth),Did L engage in misleading conduct by passing on the misleading information?,L engaged in misleading conduct by passing on the misleading information,"It did not matter that L believed the information to be true. The information was inaccurate, and thus misleading",1985,Intention
ACCC v CG Berbatis Holdings,,Did the conduct involve unconscionable conduct within the meaning of the unwritten law . Did the conduct involve unconscionable dealing of the kind at play in Commercial Bank of Australia v Amadio?,The conduct did not involve unconscionable dealing,Special disadvantage? Mr and Mrs Roberts were not labouring under a special disadvantage ñ they could decide whether it was in their best interests to release CGB from all claims so as to secure the extended lease,2000,Section 20
GARRY ROGERS MOTORS v SUBARU,"GRM was appointed an authorised S dealer in 1991.  Its initial appointment of three years was renewed in 1994. When GRM resisted complying with new marketing requirements imposed by S, S terminated the dealership arrangement. When GRM ërepentedí, S refused to reinstate the dealership agreement",Was Sí decision to terminate/refuse to reinstate the agreement a breach of s 51AC of the Trade Practices Act (the predecessor to s 21 ACL),The decision not to reinstate the dealership agreement did not involve unconscionable conduct,"Although S have failed to comply with an industry code (in that it had not provided written reasons when terminating the franchise), this did not establish that the conduct was unconscionable. S acted to protect its own legitimate commercial interests . S had reasonable doubts about GRMís willingness to comply with the new marketing requirements going forward",1999,Unconscionable conduct: section 21
NRM corporation v ACCC,,Was the cancellation term invalid under the unfair terms regime?,The cancellation term was invalid,The contract was a consumer contract ñ the consumer acquired the goods and services for personal use. The contract was a standard form contract ñ it was prepared by AMI and presented to consumers on a take-it or leave-it basis.The term was unfair. Significant imbalance: AMI would not face similar consequences if it decided to terminate the contract. Not reasonably necessary: the term was too broad ñ it applied irrespective of the reason for termination ñ it would apply even if the consumer stopped treatment because of adverse side effects. Cause detriment: consumer has to pay a penalty for terminating the contract,2016,Unfair terms
Donoghue v stevenson,"Dís friend bought a bottle of ginger beer for D that had been manufactured by S. The waiter poured some of the ginger beer into a glass, D consumed the ginger beer. When Dís friend poured the remaining ginger beer into a glass, the remains of a decomposed snail fell out. D became physically ill and suffered shock from seeing the remains of the snail. D sued S for damages in negligence","Did S owe a duty of care? (at the time, manufacturer/consumer was not a recognised category)",S owed D a duty of care,"Where food is sold, and the ultimate consumer will not discover defects by inspecting the food product, the manufacturer is under a duty to the ultimate consumer to take reasonable care to ensure the food is not defective  . It was reasonably foreseeable to a person in the Sí position, that injury or harm of some kind may happen to someone in the plaintiffís position if S failed to take reasonable care",1932,Reasonable foreseeability
Chapman v hearse,"Chapman was injured in a motor vehicle accident as a result of his negligent driving. Cherry stopped to assist Chapman. While assisting Chapman, Cherry was struck and killed by a car driven by Hearse. Cherryís estate sued Hearse for negligence. Hearse argued that Chapman  was partially responsible for Cherryís death",Did Chapman owe a duty of care to Cherry?,A driver owes a duty of care to those who may stop to assist them in the event of an accident,It was reasonably foreseeable that a person who stops to assist in the event of an accident might be injured or killed.,1961,Reasonable foreseeability
Sullivan v moody,"M, a doctor, reported his suspicions that Sí son had been sexually abused. Those who investigated the alleged abuse concluded that it could not be proved. S, who was accused of sexually abusing his son, sued M, seeking to recover damages for shock, distress and psychiatric harm",Did M owe S a duty of care?. Does a doctor owe a duty of care to a parent of a child patient?,M did not owe S a duty of care,"Although the harm was reasonably foreseeable, the salient features of the case led the court to conclude that no duty was owed. Coherence: defamation law protects reputation. Conflicting duties: the duty owed to the child patient, and the duty owed to a patientís parents, could conflict",2001,Salient features
Bolton v Stone,"S lived in a house next to the Cheetham Cricket Ground (CCG). When standing outside her house, S was hit by a ball which had been hit out of the ground. It was rare for a ball to be hit over the fence during a match ñ it had only happened 5 or 6 times in 37 years. S sued members of the Cheetham Cricket Club (CCC) (B was one such member)",Did the CCCís failure to take steps to avoid the danger of a ball being hit out of the ground involve a breach of a duty of care?,There had been no breach of duty,"Although it was foreseeable that a person could be struck by a ball hit out of the ground, there had been no breach of duty ñ there was no need to take precautions given the very small risk that someone would be struck.",1951,PROBABILITY OF HARM
WOODS v MULTI-SPORT HOLDINGS PTY LTD,"At an indoor cricket match organised by MSH, W mistimed a shot and was hit in the right eye ñ this caused him to lose sight in the eye.MSH supplied some equipment to players (bats, balls, groin protectors) but did not provide helmets with face guards.",Had MSH breached the duty it owed to W by:.failing to supply a helmet with a face guard?.failing to warn W of the risk of injury?,MSH did not breach the duty of care owed to W,"The risk that a player would be hit by a ball was obvious.MSH did not have an obligation to warn players of such obvious risks, or to provide them with protection against such risks.",2002,OBVIOUSNESS OF RISK
paris v Stepney Borough Council,"P worked for SBC as a garage hand. When SBC employed P, P was practically blind in his left eye. When P was performing maintenance work, a piece of metal flew off and entered his right eye, causing him to lose sight in his right eye. SBC did not provide P (or other employees) with protective eyewear. It was not usual for employers to provide such googles to persons employed in garages",failing to provide protective eyewear?. failing to require P to wear protective eyewear?,SBC breached the duty of care it owed to P,"A reasonable employer would take different precautions against risk for different employees. Given the seriousness of the possible harm to P, the standard of care owed to P was higher than usual",1951,LIKELY SERIOUSNESS OF HARM
Latimer v AEC Ltd,"L worked in AECís factory. AECís factory was flooded, which cause oil to rise from drains. After the water was drained away, AEC tried to clean the oil away using sawdust. L slipped on the oily surface and he suffered injury",Did AEC breach the duty of care owed to L?,AEC did not breach the duty of care owed to L,"AEC, by draining away the water and using saw dust to clean the oil, had taken reasonable precautions. Whilst it could have closed the factory,  a reasonable person would not have taken such precautions because of the associated expense and inconvenience. A defendant need only take reasonable steps ñ they do not need to eliminate all risks",1953,BURDEN OF TAKING PRECAUTIONS
Watt v Hertfordshire County Council ,"W worked as a fireman for HCC. When the fire station received a call to assist a woman trapped under a heavy vehicle, the officer in charged authorised the use of a jack that was not properly fitted to the vehicle that would attend the site of the accident. On the way to the incident, W was injured when the jack moved inside the vehicle and hit Wís leg",Did HCC breach a duty of care owed to W?,HCC did not breach a duty owed to W,"The emergency situation, and the high degree of social utility in attempting to assist the woman trapped under a heavy vehicle, meant that it was not unreasonable to take the risk of transporting the unsecured jack",1954,SOCIAL UTILITY
yates v jones,"Y was injured in a car accident, caused by Jís negligence.While recovering, one of Yís friends offered Y heroin to help Y cope with the pain.Y became addicted to heroin",Was Yís heroin addiction caused by Jís careless driving?,Jís careless driving did not cause Yís heroin addiction,The heroin addiction was not caused by the accident. It was caused by the actions of Yís friend,1990,factual causation
Cook v ACT RACING CLUB,"C, a jockey, suffered a heart attack after using an overheated sauna at the ACTRC. The dehydration caused by the use of the sauna was only one of the causes of the heart attack",Did the sauna cause the heart attack?,The sauna caused the heart attack,The sauna significantly increased the risk of injury to the plaintiff. It was thus a cause of the heart attack,2001,Factual causation (multiple causes)
Hedley Byrne & Co Ltd v Heller and Partners Ltd,"HB, an advertising agency, assumed liability to pay for advertising for one of its clients (Easipower). It hoped to recover these costs from E.HB was comfortable assuming this risk because Eís bankers, H & P advised that E was financially viable.The advice provided by H & P came with a disclaimer, namely that the advice was provided ëwithout responsibility on the part of the bank or its officialsí.E went into liquidation, and HB sued H & P to recover the money it had paid to the advertising agency on Eís behalf.","Was the disclaimer effective?.If not, could HB sue H & P for negligent misstatement?","The disclaimer was effective (not our focus).(obiter) had the disclaimer not been effective, HB would have been able to recover the loss as a result of H & Pís negligent misstatement","H & P owed HB a duty of care:the advice given by H & P to HB was commercial in natureH & P knew, or ought to have known, that HB would rely on the advice it was reasonable for HB to rely on the advice as H & P, as Eís banker, should have properly understood Eís financial position. The duty of care was breached (H & P) did not take sufficient care when assessing Eís financial position . The breach caused the loss ñ it resulted in HB assuming liability for Eís advertising",1964,NEGLIGENT MISTATEMENT
rootes v shelton,"R was injured while water-skiing because S, who was driving the boat, drove too close to a moored boat",Did R voluntarily assume the risk of being injured while water-skiing?,the voluntary assumption of risk defence did not apply,R assumed the risks normally associated with water-skiing. R had not assumed the risk of S failing to avoid obstacles in the water (such as the moored boat),1967,Voluntary assumption of risk
agar v hyde,"H, a rugby player, broke his neck when a scrum collapsed on top of him.H sued the International Rugby Union Board (and some if its members, including A) on the basis that the rules relating to scrums had been negligently prepared",Had H voluntarily assumed the risk of injury?, H had voluntarily assumed the risk ñ the Board (and A) were not liable,The risks were inherent in playing rugby and well-known to rugby players,2000,Voluntary assumption of risk
ingram v britten,"I was employed by B. I was injured when driving a tractor at an excessive speed, which caused I to lose control of the tractor and hit a tree. The tractor was owned by B. No metal frame was fitted to the tractor to protect the driver. B had breached a duty owed to I by not fitting the metal frame.  This breach caused Iís injury",Did the contributory negligence defence apply? .Had I contributed to the harm by driving carelessly?,I was liable for 60% of the harm.B was liable for 40% of the harm,The defence of contributory negligence applied. I was negligent in driving the tractor at an excessive speed and had thus contributed to the harm,1994,Contributory negligence
PANORAMA DEVELOPMENTS (GUILDFORD) LTD V FIDELIS FURNISHING FABRICS LTD ,"FFFís company secretary, Mr Bayne, hired cars from PD, purportedly on behalf of FFF.Some of the cars hired were Bayneís personal use.FFF refused to pay PD for the cars Bayne hired for personal use",Was FFF bound to pay PD for the cars hired for Bayneís personal use?.Was Bayne authorised to act as FFFís agent when hiring the cars from PD?,FFF was liable to pay PD for the cars hired by Bayne for his personal use,"Bayne had actual authority to hire cars for FFFís use, but not his personal use.However, Bayne had apparent/ostensible authority to hire the cars for his personal use.PD was unaware that Bayne did not have actual authority to hire the cars for his personal use.By appointing Bayne as company secretary, FFF acted in a way that suggested Bayne had authority to hire the cars.PD relied on the impression created by FFF, and thus assumed the agent had actual authority",1971,APPARENT AUTHORITY
SUMMERS V SOLOMON,"Solomon owned a jewellery store and appointed his nephew to manage the store.The nephew was authorised to order stock to be sold in the store.After the nephewís employment was terminated, the nephew ordered jewellery from Summers, which he kept.Solomon refused to pay on the basis that the nephew was not authorised to order the jewellery in question",Was Solomon bound to pay Summers for the jewellery in question?,Solomon was bound to pay Summers,"he nephew did not have actual authority (because at the time of the order, he was no longer employed by Solomon as manager).However, the nephew had apparent/ostensible authority.Summers was unaware that the nephew had been fired .Solomon had not told Summers that the nephew no longer worked for him.Summers relied on the impression created by Solomon, and thus assumed the nephew had actual authority",1857,APPARENT AUTHORITY
ESSINGTON INVESTMENTS PTY LTD V REGENCY PROPERTY PTY LTD ,"Mr Drummond was appointed as Rís agent to negotiate with E.Contrary to Rís instructions, Mr Drummond sent a copy of a contract to E (Mr Drummond also made unauthorised handwritten alterations to the contract).A representative of E (Mr Edwards) signed the contract.R argued it was not bound by the handwritten alterations because Mr Drummond was not authorised to make the changes",Was R bound by the unauthorised handwritten alterations?,R was not bound by the contract,Mr Drummond did not have actual authority to amend the contract and send it to E.Mr Drummond did not have apparent/ostensible authority.Mr Edwards was aware that Mr Drummondís authority was limited.The fact that Mr Drummond was in possession of the contract was not enough to suggest that he had the authority to alter the document on behalf of R,,APPARENT AUTHORITY
JOHN D WOOD & CO V KNATCHBULL,"JW was appointed to act as Kís agent (to sell Kís property).At JWís recommendation,  K agreed to sell the property for £1.5m.JW was aware that a similar property was being offered for sale for  £1.95m, but did not bring this to Kís attention.The other property ultimately sold for  £1.8m",,JW breached its duty to communicate relevant information to K.A reasonable agent would consider the information relevant in the ordinary course of business,,2002,DUTY TO COMMUNICATE RELEVANT INFORMATION
PROVINCIAL INSURANCE AUST V CONSOLIDATED WOOD PRODUCTS,CWP appointed PI as its insurance broker.PI was instructed to obtain on CWPís behalf comprehensive insurance (which would cover water/flood damage).CWP suffered loss caused by a flood but was unable to recover under the insurance contract negotiated by PI because the insurance contract excluded flood risk,Could CWP recover the loss from PI,CWP could recover the loss from PI,"PI owed CWP a duty of care, as the parties were in a recognised duty relationship.PI had breached the duty of care ñ it acted carelessly by failing to ensure that the policy covered water/flood damage.PIís breach was the cause of the loss.  ",1991,DUTY TO CARRY OUT TASKS WITH DUE CARE AND SKILL
Hide & Skin Trading Pty Ltd v Oceanic Meat Traders Ltd,"Hide & Skin (H&S) were exporters of animal products. The buyers of these products often paid for them up to six months after purchase and, to finance their ongoing business, H&S needed a third party to provide advance payment for goods sold but not yet paid for. Oceanic arranged the necessary financial facility for a period of two years. The facility was subject to termination on six monthsí notice. When Oceanic gave notice to terminate the facility, they argued that they were not obliged to give advance payments to H&S for money that would only be repaid by the purchasers after the facility had ended. H&S argued that they should be given advances right up to the end of the period of notice, even if purchasers made repayments up to six months thereafter.",Whose interpretation of the agreement was correct?,The agreement had the meaning suggested by H&S.,"Although interpreting the agreement in the way suggested by H&S might be disadvantageous to Oceanic, and might not be what Oceanic had subjectively intended, the courts construe the terms of a contract: first, by giving the words used their ordinary and natural meaning; second, by applying an objective (reasonable third party) test to ascertain the intended meaning of terms; third, by resolving ambiguities in commercial agreements by preferring alternatives that avoid commercial inconvenience or nonsense; and fourth, by basing the decision on the actual agreed terms in the contract rather than on any post-contractual behaviour of the parties. Applying these rules favoured the interpretation suggested by H&S.",1990,interpretation of terms
Australian Broadcasting Commission v Australasian Performing Right Association Ltd,"The Australian Broadcasting Commission (ABC) bound itself by contract to pay the Australasian Performing Right Association (APRA) an annual licence fee for certain musical works performed on radio and television. The contract laid down a formula for the calculation of the fee. After some years, APRA contended that the agreement was intended to provide against depreciation in the value of money, and the formula as implemented was not doing so. It argued that the formula must be interpreted differently to ensure the constant value of the licence fee.",Was it open to the court to interpret the formula differently?,It is not the function of a court to attribute to the parties an intention for which their express words do not provide.,The words in which the formula was expressed were clear and gave rise to no ambiguity. The courts construe such agreements uncritically in accordance with the text.,1973,interpretation of terms
